,0
0,20011112
1,20011029
2,20010305
3,20010116
4,20010416
5,20010615
6,20011109
7,20010903
8,20011227
9,20010921
10,20010702
11,20010928
12,20010402
13,20010330
14,20010911
15,20020614
16,20020130
17,20020322
18,20020325
19,20021216
20,20020913
21,20021209
22,20030227
23,20030613
24,20030401
25,20031014
26,20030430
27,20030423
28,20040701
29,20040629
30,20041221
31,20040329
32,20040331
33,20040611
34,20040102
35,20041210
36,20050714
37,20050401
38,20051213
39,20050610
40,20060609
41,20070412
42,20070615
43,20070914
44,20071030
45,20070427
46,20080702
47,20081010
48,20080613
49,20081013
50,20090612
51,20090313
52,20090623
53,20090113
54,20100225
55,20100402
56,20100611
57,20100910
58,20110330
59,20110608
60,20110607
61,20110131
62,20110830
63,20110331
64,20110610
65,20121220
66,20120615
67,20130611
68,20130403
69,20130614
70,20130819
71,20130424
72,20130103
73,20130902
74,20131002
75,20140912
76,20140627
77,20140414
78,20141120
79,20141119
80,20140613
81,20150612
82,20150414
83,20150313
84,20150803
85,20150629
86,20150901
87,20161228
88,20160316
89,20161017
90,20161221
91,20160610
92,20170710
93,20170915
94,20170609
95,20171211
96,20170511
97,20171215
98,20180716
99,20180614
100,20180108
101,20180615
102,20180309
103,20181214
104,20190614
105,20190213
106,20190415
107,20201211
108,20200612
109,20200911
110,20210126
111,20210910
112,20210528
113,20211130
114,20211210
115,20210611
